algoritmo;dataset;query;tree_leaves_time;external_keys_time;case1_time;case2_time;case3_time;total_time;memory;tree_leaves_time_perc;external_keys_time_perc;case1_time_perc;case2_time_perc;case3_time_perc
PGKEYMAKER;synthea_400;8;15.71;154.07;0.0;105.84;13.23;288.85;726.06;5.44;53.34;0.0;36.64;4.58
PGKEYMAKER;synthea_500;1;19.3;166.43;0.0;42.4;4.62;232.75;501.91;8.29;71.51;0.0;18.22;1.98
PGKEYMAKER;synthea_500;2;19.8;164.85;0.0;123.32;14.04;322.01;848.2;6.15;51.19;0.0;38.3;4.36
PGKEYMAKER;synthea_500;3;19.68;173.04;0.0;115.86;13.55;322.13;878.8;6.11;53.72;0.0;35.97;4.21
PGKEYMAKER;synthea_500;4;16.53;192.96;0.0;146.51;29.52;385.52;830.89;4.29;50.05;0.0;38.0;7.66
PGKEYMAKER;synthea_500;5;18.26;175.49;0.0;48.02;5.55;247.32;508.02;7.38;70.96;0.0;19.42;2.24
PGKEYMAKER;synthea_500;6;17.73;167.93;0.0;76.77;9.48;271.91;567.97;6.52;61.76;0.0;28.23;3.49
PGKEYMAKER;synthea_500;7;17.76;170.4;0.0;79.53;9.72;277.41;591.66;6.4;61.43;0.0;28.67;3.5
PGKEYMAKER;synthea_500;8;20.62;180.46;0.0;128.21;15.89;345.18;883.98;5.97;52.28;0.0;37.14;4.6
PGKEYMAKER;synthea_600;1;42.45;389.66;0.0;54.61;5.57;492.29;617.64;8.62;79.15;0.0;11.09;1.13
PGKEYMAKER;synthea_600;2;23.7;208.62;0.0;144.67;18.06;395.05;1020.49;6.0;52.81;0.0;36.62;4.57
PGKEYMAKER;synthea_600;3;24.06;215.33;0.0;148.89;17.05;405.33;1125.54;5.94;53.12;0.0;36.73;4.21
PGKEYMAKER;synthea_600;4;19.69;305.82;0.0;251.88;86.87;664.26;1051.31;2.96;46.04;0.0;37.92;13.08
PGKEYMAKER;synthea_600;5;23.79;207.33;0.0;60.88;6.75;298.75;508.77;7.96;69.4;0.0;20.38;2.26
PGKEYMAKER;synthea_600;6;22.45;205.71;0.0;101.54;12.05;341.75;708.48;6.57;60.19;0.0;29.71;3.53
PGKEYMAKER;synthea_600;7;22.37;203.55;0.0;100.62;11.35;337.89;753.07;6.62;60.24;0.0;29.78;3.36
PGKEYMAKER;synthea_600;8;21.92;209.32;0.0;168.15;19.72;419.11;1166.31;5.23;49.94;0.0;40.12;4.71
PGKEYMAKER;synthea_700;1;27.33;244.72;0.0;63.84;5.78;341.67;547.2;8.0;71.62;0.0;18.68;1.69
PGKEYMAKER;synthea_700;2;24.39;239.78;0.0;157.98;17.22;439.37;1099.96;5.55;54.57;0.0;35.96;3.92
